# file...... reg1_output.csv
# date...... Thu Dec 17 17:46:00 2020
# user...... (null)
# host...... (null)
# target.... regulator 50
# trigger... (none)
# interval.. 1
# limit..... 1
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2013-12-31 19:00:00 EST,6,-8,10,+1.26438e+06,+690640,+933974,+404190,+1.37036e+06,+649895,+3.56871e+06,+1.74472e+06
2013-12-31 19:00:01 EST,6,-8,10,+1.26438e+06,+690640,+933974,+404190,+1.37036e+06,+649895,+3.56871e+06,+1.74472e+06
# end of tape
